BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,
6C:FA:89:08:88:1B, 2015-02-11 11:21:03, 2015-02-11 11:28:52,6,54, WPA2, CCMP, MGT,-49,2,0,   0.  0.  0.  0,13, bloomu-secure, ,F8:27:93:0B:89:EF, 2015-02-11 11:36:52, 2015-02-11 11:37:10,-56,10, 40:F4:EC:DA:F9:C0, bloomu,,,,,,,
6C:FA:89:08:88:10, 2015-02-11 11:21:03, 2015-02-11 11:28:52,6,54, WPA2, CCMP, MGT,-49,762,256,   0.  0.  0.  0,6, bloomu, ,48:D7:05:97:1A:F6, 2015-02-11 11:37:12, 2015-02-11 11:37:12,-59,1, (not associated) , bloomu,,,,,,,
10:8C:CF:EA:B4:4B, 2015-02-11 11:21:25, 2015-02-11 11:28:52,11,54, WPA2, CCMP, MGT,-50,0,1,   0.  0.  0.  0,13, bloomu-secure, ,D8:BB:2C:E5:D5:6E, 2015-02-11 11:32:52, 2015-02-11 11:37:00,-49,10, 10:8C:CF:EA:AD:CB, bloomu-secure,,,,,,,
6C:FA:89:08:88:1A, 2015-02-11 11:21:03, 2015-02-11 11:28:52,6,54, OPN ,       ,   ,-50,0,0,   0.  0.  0.  0,11, bloomu-open, ,84:38:35:E8:4C:C4, 2015-02-11 11:32:16, 2015-02-11 11:37:00,-56,526, 00:23:AB:BC:D8:CB, bloomu-secure,,,,,,,
10:8C:CF:EA:2F:30, 2015-02-11 11:28:06, 2015-02-11 11:28:21,1,54, WPA2, CCMP, MGT,-51,42,23,   0.  0.  0.  0,6, bloomu, ,4C:8D:79:8F:51:D9, 2015-02-11 11:36:46, 2015-02-11 11:37:01,-62,4, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:EA:24:50, 2015-02-11 11:26:01, 2015-02-11 11:28:11,6,54, WPA2, CCMP, MGT,-52,26,10,   0.  0.  0.  0,6, bloomu, ,00:25:B3:39:61:6F, 2015-02-11 11:32:18, 2015-02-11 11:37:01,-63,362, 2E:25:B3:39:61:6F,,,,,,,,
10:8C:CF:EA:24:52, 2015-02-11 11:27:08, 2015-02-11 11:28:02,6,54, WPA2, CCMP,PSK,-45,1,0,   0.  0.  0.  0,10, bloomu-psk, ,FC:C2:DE:0E:06:DD, 2015-02-11 11:36:49, 2015-02-11 11:36:49,-1,3, 00:1C:F9:C1:EF:A0,,,,,,,,
10:8C:CF:EA:24:5B, 2015-02-11 11:27:07, 2015-02-11 11:28:02,6,54, WPA2, CCMP, MGT,-47,1,0,   0.  0.  0.  0,13, bloomu-secure, ,40:0E:85:36:C1:DD, 2015-02-11 11:36:52, 2015-02-11 11:36:52,-58,1, (not associated) ,,,,,,,,
10:8C:CF:EA:24:5A, 2015-02-11 11:27:08, 2015-02-11 11:28:02,6,54, OPN ,       ,   ,-47,1,0,   0.  0.  0.  0,11, bloomu-open, ,E6:2D:6C:B1:3E:72, 2015-02-11 11:36:50, 2015-02-11 11:36:50,-60,1, (not associated) ,,,,,,,,
10:8C:CF:EA:41:D0, 2015-02-11 11:22:26, 2015-02-11 11:28:02,6,54, WPA2, CCMP, MGT,-51,934,354,   0.  0.  0.  0,6, bloomu, ,68:9C:70:BE:9F:53, 2015-02-11 11:36:42, 2015-02-11 11:36:42,-1,2, 58:BC:27:13:89:50,,,,,,,,
00:24:14:FF:94:7B, 2015-02-11 11:27:49, 2015-02-11 11:27:49,6,54, WPA2, CCMP, MGT,-52,0,0,   0.  0.  0.  0,13, bloomu-secure, ,70:3E:AC:62:AD:EB, 2015-02-11 11:36:11, 2015-02-11 11:36:41,-1,6, 00:23:AB:BC:D8:C0,,,,,,,,
10:8C:CF:EA:41:D2, 2015-02-11 11:22:26, 2015-02-11 11:27:42,6,54, WPA2, CCMP,PSK,-45,0,0,   0.  0.  0.  0,10, bloomu-psk, ,00:26:08:F9:2F:87, 2015-02-11 11:32:31, 2015-02-11 11:36:42,-51,40, 10:8C:CF:B1:85:AB,,,,,,,,
10:8C:CF:EA:41:DA, 2015-02-11 11:21:03, 2015-02-11 11:27:42,6,54, OPN ,       ,   ,-46,0,0,   0.  0.  0.  0,11, bloomu-open, ,78:7E:61:D3:E3:6D, 2015-02-11 11:36:38, 2015-02-11 11:36:38,-58,1, (not associated) ,,,,,,,,
10:8C:CF:EA:41:DB, 2015-02-11 11:22:26, 2015-02-11 11:27:42,6,54, WPA2, CCMP, MGT,-46,0,1,   0.  0.  0.  0,13, bloomu-secure, ,24:A0:74:13:F7:91, 2015-02-11 11:36:29, 2015-02-11 11:36:29,-1,7, 88:75:56:14:6D:BB,,,,,,,,
20:AA:4B:8E:DE:90, 2015-02-11 11:27:07, 2015-02-11 11:27:08,6,54, WPA2, CCMP,PSK,-62,0,0,   0.  0.  0.  0,10, gryffindor, ,24:A2:E1:B4:48:55, 2015-02-11 11:32:19, 2015-02-11 11:36:32,-1,516, 00:23:AB:BC:D8:CB,,,,,,,,
B0:00:B4:F7:40:DB, 2015-02-11 11:22:40, 2015-02-11 11:22:40,1,54, WPA2, CCMP, MGT,-51,0,0,   0.  0.  0.  0,13, bloomu-secure, ,80:00:6E:B0:7F:34, 2015-02-11 11:36:32, 2015-02-11 11:36:32,-46,4, (not associated) , bloomu,,,,,,,
B0:00:B4:F7:40:DA, 2015-02-11 11:22:40, 2015-02-11 11:22:40,1,54, OPN ,       ,   ,-52,0,0,   0.  0.  0.  0,11, bloomu-open, ,F2:27:B6:45:3A:D0, 2015-02-11 11:36:30, 2015-02-11 11:36:30,-53,3, (not associated) ,,,,,,,,
6C:FA:89:08:8E:9A, 2015-02-11 11:22:21, 2015-02-11 11:22:21,11,54, OPN ,       ,   ,-46,0,0,   0.  0.  0.  0,11, bloomu-open, ,42:AB:9F:CA:C0:B2, 2015-02-11 11:36:30, 2015-02-11 11:36:30,-54,2, (not associated) ,,,,,,,,
6C:FA:89:08:8E:92, 2015-02-11 11:22:21, 2015-02-11 11:22:21,11,54, WPA2, CCMP,PSK,-47,0,0,   0.  0.  0.  0,10, bloomu-psk, ,34:23:BA:E4:FE:55, 2015-02-11 11:36:28, 2015-02-11 11:36:28,-56,2, (not associated) , bloomu,,,,,,,
6C:FA:89:08:8E:9B, 2015-02-11 11:22:21, 2015-02-11 11:22:25,11,54, WPA2, CCMP, MGT,-51,0,0,   0.  0.  0.  0,13, bloomu-secure, ,10:A5:D0:D0:6A:94, 2015-02-11 11:36:05, 2015-02-11 11:36:30,-57,11, (not associated) , bloomu-secure,,,,,,,
6C:FA:89:08:8E:90, 2015-02-11 11:22:21, 2015-02-11 11:22:24,11,54, WPA2, CCMP, MGT,-47,0,0,   0.  0.  0.  0,6, bloomu, ,5A:E9:84:94:2E:11, 2015-02-11 11:36:28, 2015-02-11 11:36:28,-60,1, (not associated) ,,,,,,,,
10:8C:CF:EA:24:42, 2015-02-11 11:20:17, 2015-02-11 11:22:23,11,54, WPA2, CCMP,PSK,-42,0,0,   0.  0.  0.  0,10, bloomu-psk, ,24:A2:E1:D8:45:03, 2015-02-11 11:36:20, 2015-02-11 11:36:20,-1,2, 00:23:AB:BC:D8:C0,,,,,,,,
10:8C:CF:EA:24:4A, 2015-02-11 11:20:59, 2015-02-11 11:22:23,11,54, OPN ,       ,   ,-42,0,0,   0.  0.  0.  0,11, bloomu-open, ,7E:54:56:82:7B:67, 2015-02-11 11:36:15, 2015-02-11 11:36:19,-46,14, 00:25:00:FF:94:73,,,,,,,,
10:8C:CF:B4:B2:EA, 2015-02-11 11:22:23, 2015-02-11 11:24:06,1,54, OPN ,       ,   ,-22,0,0,   0.  0.  0.  0,11, bloomu-open, ,DC:86:D8:C5:24:B1, 2015-02-11 11:36:22, 2015-02-11 11:36:22,-56,2, (not associated) , bloomu,,,,,,,
FC:15:B4:71:78:86, 2015-02-11 11:27:03, 2015-02-11 11:27:53,6,54, WPA2, CCMP,PSK,-59,0,0,   0.  0.  0.  0,28, HP-Print-86-ENVY 5530 series, ,4C:A5:6D:7F:6F:46, 2015-02-11 11:32:59, 2015-02-11 11:36:20,-57,2, (not associated) ,,,,,,,,
10:8C:CF:EA:2F:3A, 2015-02-11 11:28:12, 2015-02-11 11:28:15,1,54, OPN ,       ,   ,-47,0,0,   0.  0.  0.  0,11, bloomu-open, ,9C:F3:87:4B:13:2A, 2015-02-11 11:36:20, 2015-02-11 11:36:20,-62,1, (not associated) ,,,,,,,,
10:8C:CF:EA:2F:32, 2015-02-11 11:28:06, 2015-02-11 11:28:15,1,54, WPA2, CCMP,PSK,-46,0,0,   0.  0.  0.  0,10, bloomu-psk, ,B4:18:D1:3C:CA:8B, 2015-02-11 11:36:10, 2015-02-11 11:36:10,-1,1, 10:8C:CF:B4:AE:20,,,,,,,,
10:8C:CF:EA:2F:3B, 2015-02-11 11:28:06, 2015-02-11 11:28:23,1,54, WPA2, CCMP, MGT,-45,0,0,   0.  0.  0.  0,13, bloomu-secure, ,D8:BB:2C:95:45:F9, 2015-02-11 11:32:18, 2015-02-11 11:36:11,-46,65, 58:BC:27:13:89:50, bloomu,,,,,,,
10:8C:CF:EA:C3:82, 2015-02-11 11:22:23, 2015-02-11 11:28:23,1,54, WPA2, CCMP,PSK,-43,1,0,   0.  0.  0.  0,10, bloomu-psk, ,88:1F:A1:1A:02:36, 2015-02-11 11:36:07, 2015-02-11 11:36:08,-54,10, (not associated) , stoneysnag,bloomu-secure,Courtyard_Guest,Spice Rack,,,,
44:E4:D9:3E:84:30, 2015-02-11 11:22:46, 2015-02-11 11:28:23,1,54, WPA2, CCMP, MGT,-42,3,1,   0.  0.  0.  0,6, bloomu, ,54:9F:13:45:F4:52, 2015-02-11 11:36:09, 2015-02-11 11:36:09,-57,1, (not associated) ,,,,,,,,
44:E4:D9:3E:84:3A, 2015-02-11 11:22:50, 2015-02-11 11:28:23,1,54, OPN ,       ,   ,-42,2,0,   0.  0.  0.  0,11, bloomu-open, ,CC:08:E0:76:06:51, 2015-02-11 11:33:03, 2015-02-11 11:36:09,-58,31, (not associated) , bloomu,,,,,,,
10:8C:CF:EA:C3:80, 2015-02-11 11:22:23, 2015-02-11 11:28:23,1,54, WPA2, CCMP, MGT,-41,410,125,   0.  0.  0.  0,6, bloomu, ,C6:0A:E4:26:0D:8C, 2015-02-11 11:36:08, 2015-02-11 11:36:08,-60,1, (not associated) ,,,,,,,,
10:8C:CF:EA:C3:8B, 2015-02-11 11:22:23, 2015-02-11 11:28:23,1,54, WPA2, CCMP, MGT,-41,1,0,   0.  0.  0.  0,13, bloomu-secure, ,80:E6:50:D9:49:08, 2015-02-11 11:36:08, 2015-02-11 11:36:08,-61,1, (not associated) ,,,,,,,,
10:8C:CF:EA:C3:8A, 2015-02-11 11:22:23, 2015-02-11 11:28:23,1,54, OPN ,       ,   ,-40,1,0,   0.  0.  0.  0,11, bloomu-open, ,24:E3:14:E4:31:39, 2015-02-11 11:35:59, 2015-02-11 11:35:59,-1,7, 00:23:AB:BC:D8:C0,,,,,,,,
10:8C:CF:EA:24:40, 2015-02-11 11:20:07, 2015-02-11 11:28:44,11,54, WPA2, CCMP, MGT,-50,0,0,   0.  0.  0.  0,6, bloomu, ,88:C9:D0:B3:2D:86, 2015-02-11 11:32:19, 2015-02-11 11:35:58,-40,92, DC:7B:94:87:B3:A0,,,,,,,,
10:8C:CF:EA:24:4B, 2015-02-11 11:20:10, 2015-02-11 11:28:44,11,54, WPA2, CCMP, MGT,-49,0,0,   0.  0.  0.  0,13, bloomu-secure, ,8C:29:37:11:1F:F4, 2015-02-11 11:32:09, 2015-02-11 11:36:00,-45,4, (not associated) , bloomu,,,,,,,
10:8C:CF:EA:B4:42, 2015-02-11 11:28:23, 2015-02-11 11:28:47,11,54, WPA2, CCMP,PSK,-47,0,0,   0.  0.  0.  0,10, bloomu-psk, ,D4:F4:6F:A2:1C:15, 2015-02-11 11:36:00, 2015-02-11 11:36:00,-53,4, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:EA:B4:4A, 2015-02-11 11:22:21, 2015-02-11 11:28:47,11,54, OPN ,       ,   ,-47,0,0,   0.  0.  0.  0,11, bloomu-open, ,3A:55:34:36:43:72, 2015-02-11 11:35:58, 2015-02-11 11:35:58,-54,2, (not associated) ,,,,,,,,
10:8C:CF:B4:B2:8A, 2015-02-11 11:28:11, 2015-02-11 11:28:56,11,54, OPN ,       ,   ,-49,0,0,   0.  0.  0.  0,11, bloomu-open, ,6C:88:14:77:F2:74, 2015-02-11 11:35:59, 2015-02-11 11:35:59,-55,1, (not associated) ,,,,,,,,
10:8C:CF:B4:B2:82, 2015-02-11 11:28:52, 2015-02-11 11:28:55,11,54, WPA2, CCMP,PSK,-49,0,0,   0.  0.  0.  0,10, bloomu-psk, ,A8:5B:78:33:AB:FA, 2015-02-11 11:34:08, 2015-02-11 11:35:59,-55,60, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
10:8C:CF:B4:B2:80, 2015-02-11 11:28:38, 2015-02-11 11:28:55,11,54, WPA2, CCMP, MGT,-48,1,1,   0.  0.  0.  0,6, bloomu, ,10:A5:D0:79:7A:CA, 2015-02-11 11:35:58, 2015-02-11 11:35:58,-56,2, (not associated) , bloomu-secure,,,,,,,
A0:CF:5B:9F:C8:F0, 2015-02-11 11:21:26, 2015-02-11 11:29:15,11,54, WPA2, CCMP, MGT,-52,0,0,   0.  0.  0.  0,6, bloomu, ,18:F6:43:53:02:AD, 2015-02-11 11:33:27, 2015-02-11 11:36:02,-56,34, DC:7B:94:87:B3:A0,,,,,,,,
A0:CF:5B:9F:C8:FB, 2015-02-11 11:28:57, 2015-02-11 11:29:15,11,54, WPA2, CCMP, MGT,-51,0,0,   0.  0.  0.  0,13, bloomu-secure, ,AC:3C:0B:CD:D3:8B, 2015-02-11 11:35:50, 2015-02-11 11:35:50,-1,8, DC:7B:94:87:B3:A0,,,,,,,,
A0:CF:5B:3D:0C:02, 2015-02-11 11:20:08, 2015-02-11 11:29:26,11,54, WPA2, CCMP,PSK,-50,0,0,   0.  0.  0.  0,10, bloomu-psk, ,4C:7C:5F:A4:8F:4D, 2015-02-11 11:33:55, 2015-02-11 11:35:52,-40,35, E8:04:62:0A:33:9B, bloomu-secure,,,,,,,
A0:CF:5B:3D:0C:0A, 2015-02-11 11:20:08, 2015-02-11 11:29:26,11,54, OPN ,       ,   ,-49,0,0,   0.  0.  0.  0,11, bloomu-open, ,18:F6:43:CB:27:BC, 2015-02-11 11:32:34, 2015-02-11 11:35:50,-40,132, DC:7B:94:87:B3:A0, bloomu,,,,,,,
54:4A:00:79:95:7A, 2015-02-11 11:20:07, 2015-02-11 11:29:26,11,54, OPN ,       ,   ,-46,1,0,   0.  0.  0.  0,11, bloomu-open, ,18:9E:FC:07:29:5A, 2015-02-11 11:33:24, 2015-02-11 11:35:48,-40,9, (not associated) , bloomu,,,,,,,
54:4A:00:79:95:7B, 2015-02-11 11:20:07, 2015-02-11 11:29:26,11,54, WPA2, CCMP, MGT,-46,1,0,   0.  0.  0.  0,13, bloomu-secure, ,6C:40:08:72:CA:6C, 2015-02-11 11:35:34, 2015-02-11 11:35:49,-43,3, (not associated) ,,,,,,,,
54:4A:00:79:95:72, 2015-02-11 11:20:07, 2015-02-11 11:29:26,11,54, WPA2, CCMP,PSK,-45,0,0,   0.  0.  0.  0,10, bloomu-psk, ,1C:99:4C:63:4E:AF, 2015-02-11 11:33:15, 2015-02-11 11:35:49,-46,11, (not associated) , bloomu,,,,,,,
00:1C:0E:26:AE:EA, 2015-02-11 11:20:07, 2015-02-11 11:29:26,11,54, OPN ,       ,   ,-39,1,0,   0.  0.  0.  0,11, bloomu-open, ,90:27:E4:99:2C:84, 2015-02-11 11:35:06, 2015-02-11 11:35:51,-48,2, (not associated) , akuamanfo,,,,,,,
00:1C:0E:26:AE:E2, 2015-02-11 11:20:08, 2015-02-11 11:29:26,11,54, WPA2, CCMP,PSK,-39,1,0,   0.  0.  0.  0,10, bloomu-psk, ,3C:AB:8E:A6:C4:09, 2015-02-11 11:35:28, 2015-02-11 11:35:51,-52,40, DC:7B:94:87:B3:A0,,,,,,,,
A0:CF:5B:3D:09:80, 2015-02-11 11:29:34, 2015-02-11 11:29:34,6,54, WPA2, CCMP, MGT,-49,1,0,   0.  0.  0.  0,6, bloomu, ,FC:C2:DE:76:F2:8F, 2015-02-11 11:33:14, 2015-02-11 11:35:51,-52,105, DC:7B:94:87:B3:AB,,,,,,,,
A0:CF:5B:9F:32:30, 2015-02-11 11:20:12, 2015-02-11 11:29:57,11,54, WPA2, CCMP, MGT,-50,147,106,   0.  0.  0.  0,6, bloomu, ,34:23:BA:B2:93:D7, 2015-02-11 11:32:21, 2015-02-11 11:35:51,-53,83, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
A0:CF:5B:9F:32:3B, 2015-02-11 11:20:07, 2015-02-11 11:29:55,11,54, WPA2, CCMP, MGT,-48,2,0,   0.  0.  0.  0,13, bloomu-secure, ,34:BB:26:9A:C4:6D, 2015-02-11 11:32:54, 2015-02-11 11:35:48,-57,12, DC:7B:94:87:B3:AB,,,,,,,,
E8:04:62:0A:5B:FA, 2015-02-11 11:30:00, 2015-02-11 11:30:16,6,54, OPN ,       ,   ,-47,0,0,   0.  0.  0.  0,11, bloomu-open, ,24:AB:81:FE:31:80, 2015-02-11 11:33:31, 2015-02-11 11:35:50,-59,6, (not associated) , bloomu,,,,,,,
18:EF:63:FC:08:C0, 2015-02-11 11:30:14, 2015-02-11 11:30:14,6,54, WPA2, CCMP, MGT,-47,0,0,   0.  0.  0.  0,6, bloomu, ,A0:88:B4:D5:EC:4C, 2015-02-11 11:34:00, 2015-02-11 11:35:50,-61,3, (not associated) , bloomu-secure,,,,,,,
E8:04:62:0A:5B:F2, 2015-02-11 11:30:00, 2015-02-11 11:30:16,6,54, WPA2, CCMP,PSK,-46,1,0,   0.  0.  0.  0,10, bloomu-psk, ,F4:37:B7:21:A4:CF, 2015-02-11 11:35:42, 2015-02-11 11:35:42,-1,1, E8:04:62:0A:33:90,,,,,,,,
E8:04:62:0A:5B:F0, 2015-02-11 11:30:00, 2015-02-11 11:30:16,6,54, WPA2, CCMP, MGT,-46,1,0,   0.  0.  0.  0,6, bloomu, ,0C:30:21:11:80:07, 2015-02-11 11:32:18, 2015-02-11 11:35:38,-38,20, DC:7B:94:87:B3:A0, bloomu,,,,,,,
E8:04:62:0A:5B:FB, 2015-02-11 11:30:00, 2015-02-11 11:30:23,6,54, WPA2, CCMP, MGT,-51,1,0,   0.  0.  0.  0,13, bloomu-secure, ,6E:4A:9D:E0:4C:42, 2015-02-11 11:32:54, 2015-02-11 11:35:40,-43,5, (not associated) ,,,,,,,,
58:BC:27:BF:37:D2, 2015-02-11 11:30:00, 2015-02-11 11:31:45,6,54, WPA2, CCMP,PSK,-39,1,0,   0.  0.  0.  0,10, bloomu-psk, ,D0:23:DB:88:95:34, 2015-02-11 11:32:36, 2015-02-11 11:35:40,-45,11, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
58:BC:27:BF:37:DB, 2015-02-11 11:30:00, 2015-02-11 11:31:45,6,54, WPA2, CCMP, MGT,-39,0,0,   0.  0.  0.  0,13, bloomu-secure, ,40:0E:85:01:80:57, 2015-02-11 11:34:01, 2015-02-11 11:35:42,-46,7, 58:BC:27:13:89:5B, bloomu-secure,,,,,,,
58:BC:27:BF:37:DA, 2015-02-11 11:30:00, 2015-02-11 11:31:45,6,54, OPN ,       ,   ,-39,1,0,   0.  0.  0.  0,11, bloomu-open, ,A8:86:DD:3C:FB:8F, 2015-02-11 11:33:49, 2015-02-11 11:35:38,-47,7, (not associated) , bloomu-secure,,,,,,,
58:BC:27:BF:37:D0, 2015-02-11 11:30:00, 2015-02-11 11:31:54,6,54, WPA2, CCMP, MGT,-50,849,651,   0.  0.  0.  0,6, bloomu, ,E0:F5:C6:DA:9C:3E, 2015-02-11 11:35:41, 2015-02-11 11:35:42,-51,11, 58:BC:27:13:A1:00, bloomu,,,,,,,
10:8C:CF:B4:B2:E0, 2015-02-11 11:22:28, 2015-02-11 11:31:53,1,54, WPA2, CCMP, MGT,-33,357,137,   0.  0.  0.  0,6, bloomu, ,EE:F9:E4:CA:6B:F9, 2015-02-11 11:35:40, 2015-02-11 11:35:40,-51,1, (not associated) ,,,,,,,,
10:8C:CF:B4:B2:EB, 2015-02-11 11:22:23, 2015-02-11 11:31:53,1,54, WPA2, CCMP, MGT,-32,2,0,   0.  0.  0.  0,13, bloomu-secure, ,BE:71:1C:F8:63:95, 2015-02-11 11:33:30, 2015-02-11 11:35:42,-51,7, (not associated) ,,,,,,,,
10:8C:CF:B4:B2:E2, 2015-02-11 11:21:00, 2015-02-11 11:31:53,1,54, WPA2, CCMP,PSK,-28,3,0,   0.  0.  0.  0,10, bloomu-psk, ,00:C6:10:E9:B5:B0, 2015-02-11 11:35:40, 2015-02-11 11:35:40,-53,2, (not associated) , bloomu,,,,,,,
00:1E:E5:3C:84:51, 2015-02-11 11:24:12, 2015-02-11 11:32:07,6,54, WPA2WPA , CCMP TKIP,PSK,-61,10,0,   0.  0.  0.  0,9, mikesuckz, ,3C:E0:72:2E:05:C0, 2015-02-11 11:33:32, 2015-02-11 11:35:38,-53,7, (not associated) , 122 Irondale Road,belkin.d1e,,,,,,
00:1C:0E:26:6D:50, 2015-02-11 11:21:00, 2015-02-11 11:32:07,1,54, WPA2, CCMP, MGT,-47,3,4,   0.  0.  0.  0,6, bloomu, ,6C:40:08:0C:D5:24, 2015-02-11 11:35:38, 2015-02-11 11:35:38,-55,1, (not associated) , bloomu,,,,,,,
00:1C:0E:26:6D:52, 2015-02-11 11:21:00, 2015-02-11 11:32:07,1,54, WPA2, CCMP,PSK,-46,4,0,   0.  0.  0.  0,10, bloomu-psk, ,A0:88:B4:D5:B4:10, 2015-02-11 11:35:40, 2015-02-11 11:35:40,-63,1, (not associated) , bloomu-secure,,,,,,,
00:1C:0E:26:6D:5B, 2015-02-11 11:22:29, 2015-02-11 11:32:07,1,54, WPA2, CCMP, MGT,-42,5,17,   0.  0.  0.  0,13, bloomu-secure, ,40:78:6A:05:81:F1, 2015-02-11 11:35:30, 2015-02-11 11:35:31,-35,9, (not associated) , DE9V1,Welcome To Victory,HOME-AF56-2.4,,,,,
A0:CF:5B:3D:0C:00, 2015-02-11 11:20:08, 2015-02-11 11:32:16,11,54, WPA2, CCMP, MGT,-50,0,1,   0.  0.  0.  0,6, bloomu, ,D0:E1:40:83:DA:72, 2015-02-11 11:33:19, 2015-02-11 11:35:28,-39,14, (not associated) ,,,,,,,,
A0:CF:5B:A3:47:AA, 2015-02-11 11:32:37, 2015-02-11 11:32:46,6,54, OPN ,       ,   ,-51,2,2, 172. 20.  1. 25,11, bloomu-open, ,1C:E6:2B:D2:30:DE, 2015-02-11 11:33:53, 2015-02-11 11:35:29,-40,3, (not associated) ,,,,,,,,
A0:CF:5B:A3:47:A2, 2015-02-11 11:32:42, 2015-02-11 11:32:44,6,54, WPA2, CCMP,PSK,-51,3,0,   0.  0.  0.  0,10, bloomu-psk, ,F0:25:B7:A6:D4:B0, 2015-02-11 11:34:51, 2015-02-11 11:35:30,-43,5, (not associated) , bloomu,,,,,,,
A0:CF:5B:A3:47:A0, 2015-02-11 11:32:42, 2015-02-11 11:32:47,6,54, WPA2, CCMP, MGT,-51,3,1,   0.  0.  0.  0,6, bloomu, ,20:A2:E4:B2:A8:7B, 2015-02-11 11:34:37, 2015-02-11 11:35:28,-45,8, (not associated) ,,,,,,,,
A0:CF:5B:A3:47:AB, 2015-02-11 11:32:45, 2015-02-11 11:32:47,6,54, WPA2, CCMP, MGT,-51,2,0,   0.  0.  0.  0,13, bloomu-secure, ,F0:DB:E2:51:64:50, 2015-02-11 11:33:48, 2015-02-11 11:35:32,-46,13, DC:7B:94:87:B3:A0,,,,,,,,
58:BC:27:92:FC:DB, 2015-02-11 11:32:34, 2015-02-11 11:33:07,1,54, WPA2, CCMP, MGT,-44,1,0,   0.  0.  0.  0,13, bloomu-secure, ,54:27:1E:14:FD:25, 2015-02-11 11:32:52, 2015-02-11 11:35:28,-50,6, (not associated) , bloomu,,,,,,,
58:BC:27:92:FC:DA, 2015-02-11 11:32:34, 2015-02-11 11:33:07,1,54, OPN ,       ,   ,-43,1,0,   0.  0.  0.  0,11, bloomu-open, ,F8:E0:79:3A:E8:94, 2015-02-11 11:34:35, 2015-02-11 11:35:28,-50,73, 10:8C:CF:B4:B1:40, bloomu,,,,,,,
E8:04:62:0A:30:FB, 2015-02-11 11:32:21, 2015-02-11 11:33:04,6,-1,     ,       ,   ,-1,0,0,   0.  0.  0.  0,0, , ,A0:88:B4:D5:32:A0, 2015-02-11 11:34:22, 2015-02-11 11:35:32,-51,14, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
0A:27:22:75:A5:CD, 2015-02-11 11:32:20, 2015-02-11 11:34:36,6,54, WPA2WPA , CCMP TKIP,PSK,-60,11,0,   0.  0.  0.  0,0, , ,A0:88:B4:D4:A3:4C, 2015-02-11 11:34:17, 2015-02-11 11:35:32,-53,29, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
10:8C:CF:39:3D:62, 2015-02-11 11:33:50, 2015-02-11 11:34:43,1,54, WPA2, CCMP,PSK,-42,2,0,   0.  0.  0.  0,10, bloomu-psk, ,AC:3C:0B:D8:54:AE, 2015-02-11 11:35:32, 2015-02-11 11:35:32,-54,4, (not associated) ,,,,,,,,
10:8C:CF:B4:AB:10, 2015-02-11 11:33:41, 2015-02-11 11:34:43,1,54, WPA2OPN , CCMP, MGT,-38,0,2,   0.  0.  0.  0,6, bloomu, ,F0:25:B7:28:80:02, 2015-02-11 11:33:18, 2015-02-11 11:35:29,-58,9, (not associated) , bloomu,,,,,,,
10:8C:CF:B4:AB:12, 2015-02-11 11:33:50, 2015-02-11 11:34:43,1,54, WPA2, CCMP,PSK,-37,2,0,   0.  0.  0.  0,10, bloomu-psk, ,48:E9:F1:BA:18:52, 2015-02-11 11:35:01, 2015-02-11 11:35:30,-58,8, (not associated) ,,,,,,,,
E8:04:62:0A:27:D0, 2015-02-11 11:33:48, 2015-02-11 11:34:44,11,54, WPA2OPN , CCMP, MGT,-37,1,1,   0.  0.  0.  0,6, bloomu, ,24:E3:14:B0:E9:4A, 2015-02-11 11:35:23, 2015-02-11 11:35:30,-62,4, (not associated) , bloomu,,,,,,,
10:8C:CF:B4:AB:1B, 2015-02-11 11:33:50, 2015-02-11 11:34:43,1,54, WPA2, CCMP, MGT,-36,0,0,   0.  0.  0.  0,13, bloomu-secure, ,6C:3E:6D:8F:13:28, 2015-02-11 11:35:21, 2015-02-11 11:35:21,-1,1, DC:7B:94:87:B3:AB,,,,,,,,
10:8C:CF:B4:AB:1A, 2015-02-11 11:33:50, 2015-02-11 11:34:43,1,54, OPN ,       ,   ,-36,2,0,   0.  0.  0.  0,11, bloomu-open, ,88:CB:87:21:39:22, 2015-02-11 11:35:21, 2015-02-11 11:35:21,-1,1, DC:7B:94:87:B3:A0,,,,,,,,
E8:04:62:0A:27:DA, 2015-02-11 11:34:44, 2015-02-11 11:34:44,11,54, OPN ,       ,   ,-34,1,0,   0.  0.  0.  0,11, bloomu-open, ,3C:AB:8E:9B:5B:A5, 2015-02-11 11:33:48, 2015-02-11 11:35:21,-35,3, DC:7B:94:87:B3:A0,,,,,,,,
